Stuffed Tangy Bitter Gourd,Indian,Kid-Friendly
Aloo Nirali,Indian,Vegetarian
Sauteed Indonesian Potatoes,Indonesian,Vegetarian
Apple Halwa,Indian,Kid-Friendly
Anglo Indian Pork Bhoonie,Anglo-Indian,Non-Vegetarian
American Cream Cheese Frosting,American,Kid-Friendly
5 Star Diamonds,Indian,Vegetarian
Okra in Indian Spices,Indian,Vegetarian
Aloo Anar Raita,Indian,Kid-Friendly
Almond Kulfi,Indian,Kid-Friendly
Chilli Tofu,Asian,Vegan
MW Jeera Peas Pulao,Indian,Vegetarian
Amla Chutney,Indian,Vegetarian
Peanut Sundal,Indian,Kid-Friendly
Mango Barfi,Indian,Kid-Friendly
Malvani Fish Curry in Coconut,Indian,Non-Vegetarian
Apples Stuffed with Chicken,Continental,Festive
Strawberry Pie,Continental,Festive
Tasty Dal Fry,Indian,Vegetarian
Continental Eggless Cake,Continental,Kid-Friendly
Chicken Pickle,Indian,Non-Vegetarian
Apple and Red Cabbage Soup,Indian,Vegetarian
Instant Mango Pickle,Indian,Vegetarian
Paneer Gobi,Indian,Vegetarian
Aloo Capsicum,Indian,Vegetarian
Apple Kheer,Indian,Festive
Amritsari Machhi Fry,Indian,Non-Vegetarian
Apple Betty,American,Kid-Friendly
Dahi Aloo Gravy,Indian,Festive
Apple and Mango Pickle,Indian,Vegetarian
Singapore Noodles,Singapore,Non-Vegetarian
Ambakalya,Indian,Festive
Amaretti Cookies,Italian,Vegan
Aloo Mattar,Indian,Vegetarian
Aloo gobi,Indian,Vegetarian
Aloo-Phali Sabji (potato- Long beans Stir fry),Indian,Vegetarian
Saboodana Thalipeeth,Indian,Vegetarian
Clear Soup,Indian,Vegetarian
Lemon pickle with Red Chillies,Indian,Vegetarian
Easy Chicken Fry for Parties,Indian,Non-Vegetarian
Steamed Dhoklas,Indian,Non-Vegetarian
Ande Palakwale,Indian,Non-Vegetarian
Eggless waffles with wholewheat flour,American,Vegetarian
Amriki salad,American,Vegetarian
Almond and Fig Peda,Indian,Kid-Friendly
Aloo chutneywale,Indian,Vegetarian
Andhra Mutton Mushroom Sukka,Indian,Non-Vegetarian
Amvade,Indian,Kid-Friendly
Pickled Mangoes in Sesame Oil,Indian,Vegetarian
Aloo Tikki,Indian,Vegetarian
Fish and Tomato Tenga,Indian,Non-Vegetarian
Kulkuls for Kids,Indian,Kid-Friendly
Apple and Paneer Basundi,Indian,Kid-Friendly
Aloo Choliya (Potato Green Chickpea Curry ),Indian,Vegetarian
7 Cups Burfi,Indian,Kid-Friendly
Sauteed Spring Onions,Indian,Vegetarian
Potatoes in Cumin Masala,Indian,Vegetarian
Adrak Navratan,Indian,Kid-Friendly
Adi - Muglai Lauki,Indian,Vegetarian
Amchoor (Dried Mango) Powder,Indian,Vegetarian
Akbari Vegetables,Indian,Vegetarian
Aloo Rasedar,Indian,Vegetarian
Coconut Dosa,Indian,Vegetarian
Minced Meat Kofta,Indian,Non-Vegetarian
Deep fried Chicken,Indian,Non-Vegetarian
Ras Malai with Eggs,Indian,Kid-Friendly
South-style Chicken Kurma,Indian,Non-Vegetarian
Hakka Noodles,Chinese,Vegetarian
Andhra chicken curry,Indian,Non-Vegetarian
Aloo Capsicum Boats,Indian,Vegetarian
Baby Corn Rice with green chilli pickle,Indian,Vegetarian
Moong Dal Masala Vada,Indian,Kid-Friendly
All-Whole-Wheat Sourdough Bread,Continental,Vegan
Anglo-Indian Mustard Sauce,Anglo-Indian,Vegetarian
Coriander Fish,Indian,Non-Vegetarian
Ready to make rava idli,Indian,Kid-Friendly
Thai Celery and coconut cream soup,Thai,Non-Vegetarian
Almond Toast,Indian,Kid-Friendly
Fruit Salad With full Cream,Indian,Vegetarian
3 Minute Mamra Upma,Indian,Kid-Friendly
Almond Butter,American,Vegan
Dhokla,Indian,Vegetarian
Apple Sauce Doughnuts,Continental,Kid-Friendly
Alu Pita,Indian,Kid-Friendly
Traditional Xmas cake,Anglo-Indian,Kid-Friendly
Apple Jelly Delight,American,Kid-Friendly
Tangy Chana Dal Chutney,Indian,Vegetarian
Akbari Murg-bhat,Indian,Non-Vegetarian
Amboli,Indian,Vegetarian
Army Camp Soup,Anglo-Indian,Non-Vegetarian
Anjeer Barfi,Indian,Vegetarian
Continental Strawberry Parfait,Continental,Kid-Friendly
Aloo Sarson Posta,Indian,Vegetarian
Chilli Capsicum,Indian,Vegetarian
Adai,Indian,Low-Calorie
Anglo-Burmese Piajo Soup,Anglo-Indian,Non-Vegetarian
Aaviri Kudumu (Steamed Urad Dal Dumplings),Indian,Vegetarian
Cabbage Kofta,Indian,Vegetarian
Chana Dal-Cheese Kofta Curry,Indian,Vegetarian
Aam ka Paratha stuffed with Chhunda,Indian,Vegetarian
Hawaian Shake,Indian,Kid-Friendly
Aam ka meetha,Indian,Vegetarian
Almond Brownies,Continental,Kid-Friendly
Kofta Biryani,Indian,Vegetarian
Almond Praline with Vanilla Ice Cream,American,Kid-Friendly
Kolkata Doi Mach,Indian,Non-Vegetarian
Banana Drink with chocolate syrup,Indian,Vegetarian
Apricot White Chocolate Pulla,Continental,Kid-Friendly
Kerala Fish Curry,Indian,Non-Vegetarian
Anzac Biscuits,Indian,Kid-Friendly
Apple jalebi,Continental,Kid-Friendly
Rose Flavoured Thandai,Indian,Vegetarian
Andhra Style Raw Mango Pickle,Indian,Vegetarian
Aglio olio pasta,Italian,Vegetarian
Fruit Salad with cream,Indian,Kid-Friendly
Amla Grape Juice,Indian,Kid-Friendly
Alighari Aloo Potato,Indian,Vegetarian
Amb Khatta (Mango Pickle),Indian,Vegetarian
Alu Palak Pulao,Indian,Vegetarian
Apple Tart 'Maman Blanc',Continental,Kid-Friendly
Anglo Indian roast beef,Anglo-Indian,Non-Vegetarian
Apple Crumble Tarts,Continental,Vegetarian
Gajar ka pulao,Indian,Vegetarian
Honey Carrot Kheer,Indian,Vegetarian
Amazing Corn Cake,American,Kid-Friendly
Yellow Coconut rice with Saffron,Anglo-Indian,Vegetarian
Paneer Fried Rice,Indian,Vegetarian
Phoolgobi chawal,Indian,Vegetarian
Andhra Gongura Thokku,Indian,Vegetarian
Egg Roll Snack,Indian,Non-Vegetarian
Fried Crab Masala,Indian,Non-Vegetarian
A Rendezvous with Rice,Anglo-Indian,Vegetarian
Chicken with Lychees,Chinese,Non-Vegetarian
30-minute Cauliflower Kurma,Indian,Vegetarian
Iyengar Mangai pachadi,Indian,Vegetarian
American Cheese Pudding,American,Kid-Friendly
Aebleskivers,Indian,Vegetarian
Aloo Spinach pancakes,Indian,Vegetarian
Aloo Paneer Curry,Indian,Vegetarian
Apple Khova Crumble,Indian,Vegetarian
Amla Honey Shot,Indian,Kid-Friendly
Ariselu,Indian,Kid-Friendly
Anglo-Indian Meat Vindaloo,Anglo-Indian,Non-Vegetarian
Mango Kulfi,Indian,Kid-Friendly
Ananas rasam,Indian,Kid-Friendly
Jackfruit Curry,Indian,Vegetarian
Amba Burfi,Indian,Festive
Aam ki lassi,Indian,Vegetarian
Pineapple Kesari,Indian,Festive
Vegetable patties,Indian,Vegetarian
Drumstick Kootu,Indian,Vegetarian
Almond Milk,Indian,Kid-Friendly
Almond Pancakes,Continental,Vegan
Aloo Bhajiyas,Indian,Vegetarian
Andhra Chicken Kurma,Indian,Non-Vegetarian
Aloo Baigan (Brinjal) Ki Sabzi,Indian,Vegetarian
Ada,Indian,Vegetarian
All-In-One Dal,Indian,Vegetarian
Aamor Asar,Indian,Vegetarian
Anjeer ke kofte,Indian,Vegetarian
Ari Payasam,Indian,Festive
Adrak and Ajwain Flavoured Lassi,Indian,Festive
Ananas (Pineapple) Pulao,Indian,Vegetarian
Gujarati Thepla,Indian,Vegetarian
Cheese Sauce Dip,Indian,Kid-Friendly
Aloo pulao,Indian,Vegetarian
Apple Pachadi,Indian,Kid-Friendly
Muffin with onions,Indian,Kid-Friendly
Apricot Cream and Pear Sandwich,Indian,Kid-Friendly
Cabbage Pakoda,Indian,Vegetarian
Apple Pudding,Continental,Kid-Friendly
Appam,Indian,Kid-Friendly
Indian Ivy Gourd Fry,Indian,Vegetarian
Tasty Masala Vadai,Indian,Kid-Friendly
Almond Fried Fish with Ginger Sauce,Chinese,Non-Vegetarian
Almond Capsicum Stew,Continental,Vegetarian
Aloo Cheese Ka Paratha,Indian,Vegetarian
Pav Bhaji,Indian,Kid-Friendly
Prawn Toast,Chinese,Non-Vegetarian
Arbi Ki Sabzi,Indian,Vegetarian
Andhra Mamidi Pappu (Mango Dal),Indian,Vegetarian
Andhra gongura pachadi,Indian,Vegetarian
Araichu Vitta Sambar,Indian,Vegetarian
Yellow Moong Dal with Spinach,Indian,Vegetarian
Aloo Paneer Kofta Curry,Indian,Vegetarian
South Indian Lemon rasam,Indian,Vegetarian
Doi Mach,Indian,Non-Vegetarian
Aloo and Baigan Pakodas,Indian,Vegetarian
Cheese Loaf,Indian,Vegetarian
Arabian Lentil Soup,Arab,Non-Vegetarian
Almond Cashew Curry,Indian,Vegetarian
Indian Thekua,Indian,Kid-Friendly
Almond Payasam,Indian,Vegetarian
Chicken Serunding in rich coconut milk,Malaysian,Non-Vegetarian
Aate Ka Halwa,Indian,Kid-Friendly
Almond Butter Cake,Indian,Kid-Friendly
Cold Cucumber Soup,Indian,Vegetarian
Spiced Indian Chicken,Indian,Non-Vegetarian
Alu matki usal,Indian,Vegetarian
Alasanda vadium ( lobiya cryspies),Indian,Vegetarian
Deep fried Prawn Balls,Indian,Non-Vegetarian
Aloo Jeera,Indian,Vegetarian
Sri Lankan Fish Curry,Sri-Lankan,Non-Vegetarian
French Doughnuts,French,Kid-Friendly
Bengali Tangy Fish Curry,Indian,Non-Vegetarian
Aloo Palak,Indian,Vegetarian
Aloo paratha,Indian,Vegetarian
Lasuni Dal Vada,Indian,Festive
Sauteed Thai Fried Rice,Thai,Festive
French Toast with Herbs for Breakfast,Continental,Non-Vegetarian
Arbi-Yam Oondhiya,Indian,Vegetarian
Indian Drumstick Kootu,Indian,Vegetarian
Coconut Kadhi with Kokam,Indian,Vegetarian
Aloo Bhath,Indian,Vegetarian
Apple Raisin Christmas Pie,Continental,Festive
Almond Meringue Torte,Anglo-Indian,Kid-Friendly
Easy to make Birthday Cake,Indian,Kid-Friendly
Green Mango Curry with Pineapple,Indian,Vegetarian
Apple Pancakes,Indian,Festive
Apple coleslaw,American,Kid-Friendly
Indian String Beans Curry,Indian,Vegetarian
Aloo Poha,Indian,Kid-Friendly
Amita Khar,Indian,Vegetarian
Aam aur kele ka rasayan,Indian,Vegetarian
Adai (Dhal Dosa),Indian,Vegetarian
Anglo-Burmese Khow Suey,Anglo-Indian,Non-Vegetarian
Aam ka kulfi,Indian,Kid-Friendly
Continental Egg Salad,Continental,Festive
Onion Garlic Chutney with Pepper,Indian,Vegetarian
Ada dosa,Indian,Vegetarian
Bittersweet Chocolate Cake,Continental,Non-Vegetarian
Easy Bread Pizza,Continental,Vegetarian
Egg Manchurian,Indo-Chinese,Kid-Friendly
American Mojito Martini,American,Festive
Aloo Pastry Puffs,Indian,Vegetarian
Anglo Indian Waldorf Salad,Anglo-Indian,Vegetarian
Festive Eggnog,Continental,Festive
Hara Murg,Indian,Non-Vegetarian
Breadfruit (Kadachakka) Fritters,Continental,Vegetarian
Eggless Wholewheat Waffles,American,Kid-Friendly
Fish Bread Roll,Indian,Non-Vegetarian
Chicken Roast with Indian Spices,Indian,Non-Vegetarian
Ambrosia Fruit Salad,Indian,Kid-Friendly
Upma Pidi Kozhukattai,Indian,Kid-Friendly
Amritsari fish with salmon,Indian,Non-Vegetarian
Almond yogurt,Indian,Kid-Friendly
Andhra Chicken Shashlik Masal,Indian,Non-Vegetarian
Aamras with Poori,Indian,Vegetarian
Ammini (mini) kozhukattai,Indian,Festive
Mullangi kootu,Indian,Vegetarian
5 Minutes Chocolate Mousse,English,Kid-Friendly
Kerala Fish Stew,Indian,Non-Vegetarian
Mediterranean Chick Pea Salad,Mediterranean,Kid-Friendly
Firni,Indian,Vegetarian
Aloo De Sagaan,Indian,Vegetarian
Indian Dhaniya Chicken,Indian,Non-Vegetarian
Ajwain Kulcha - Carrom seeds Kulcha,Indian,Kid-Friendly
Almond Crush,Indian,Kid-Friendly
Akhini,Indian,Non-Vegetarian
All Spice Powder (Garam Masala Powder),Indian,Vegetarian
Alphabet Soup,Continental,Vegetarian
Mango Pickle with Indian Spices,Indian,Vegetarian
Anjaraipetti Kuzhambu,Indian,Vegetarian
Raw Banana Pulitta Koottu,Indian,Vegetarian
Tortellini With Shiitakes and Peas,Italian,Vegetarian
Velvety Green Curry with Peas and Mushrooms,Indian,Vegan
Paneer with Gravy,Indian,Vegetarian
Dalma,Indian,Kid-Friendly
Paasi Paruppu Pesarattu,Indian,Kid-Friendly
Golden Shrimp Vada,Indian,Non-Vegetarian
Aapam with thengaipal,Indian,Kid-Friendly
Almond macaroons,Indian,Kid-Friendly
Appalam Vatha Kozhambhu,Indian,Vegetarian
Arabian Pulao,Indian,Non-Vegetarian
Chilled Mango Kulfi,Indian,Kid-Friendly
Almond Bark,Indian,Festive
Indian Lapsee,Indian,Festive
Amaranthus Sambar,Indian,Kid-Friendly
Aam ki subzi,Indian,Kid-Friendly
2-Seeds Crackers,Indian,Kid-Friendly
Cheese Mince Pancakes,Continental,Non-Vegetarian
Alu matar ka pie,Indian,Non-Vegetarian
Achari Paneer Tikka,Indian,Vegetarian
Apple Juice,Indian,Kid-Friendly
Indian Drumstick Curry,Indian,Vegetarian
Aloo Bhindi Masala,Indian,Kid-Friendly
Apple rasam,Indian,Vegetarian
8-minute Cheese Cake,Continental,Festive
Apricot nectar,Continental,Kid-Friendly
Vegetable Stew under 30 minutes,Indian,Vegetarian
Arabian Rice,Middle-East,Non-Vegetarian
Mumbaiya Pav Bhaji,Indian,Kid-Friendly
Arbi With Mustard Masala,Indian,Vegetarian
American Cabinet Pudding,American,Kid-Friendly
Arabic Cheese Roll,Arab,Vegetarian
Dahi Wada,Indian,Vegetarian
Stuffed Triangles,Indian,Festive
Mixed Veggies Kootu,Indian,Vegetarian
Dal-Cheese Kofta Curry,Indian,Kid-Friendly
Akki roti with cabbage palya,Indian,Vegetarian
Apricot Fudge,Continental,Festive
Hard boiled Egg Curry,Indian,Non-Vegetarian
Aloo banda (Alu Choup),Indian,Vegetarian
Kokum Kadi,Indian,Vegetarian
Indian Chilli Crab Masala,Indian,Non-Vegetarian
Arikkadukka (Stuffed mussels),Indian,Non-Vegetarian
Ankurit Moth Salad,Indian,Vegetarian
Khara Boondhi,Indian,Vegetarian
Mughlai Murg,Indian,Non-Vegetarian
Aloo chana Masala,Indian,Vegetarian
Hawaian Confections,American,Kid-Friendly
Chicken Gravy in Yoghurt,Indian,Non-Vegetarian
Aam panna,Indian,Kid-Friendly
Spicy Brinjal Stew,Indian,Vegetarian
Aloo Tuk Chaat,Indian,Vegetarian
Tangy Grilled Veggies,Indian,Vegetarian
Almond Rice Kheer,Indian,Vegetarian
Mushroom Masala for Bachelors,Indian,Festive
Easy Chocolate Ice Cream,American,Kid-Friendly
Aloo methi dry,Indian,Vegetarian
Almond kesari,Indian,Festive
Almond soup,Indian,Kid-Friendly
Dal Chutney,Indian,Vegetarian
Aloo Ki Khatti Tarkari,Indian,Vegetarian
Garlic Chutney with Cilantro,Indian,Vegetarian
Asian Chilli Beef with Leeks,Asian,Non-Vegetarian
Ambshi Tikshi Kadi - Fish,Indian,Non-Vegetarian
Apple Bread Butter Pudding,Continental,Kid-Friendly
Brussels Sprouts Curry,Indian,Kid-Friendly
Almond Modak,Indian,Festive
Aloo Kasoori Methi,Indian,Vegetarian
Aloo Bhatt,Indian,Vegetarian
Masaledar Baingan Raita,Indian,Vegetarian
Aloo Capsicum Sabji,Indian,Vegetarian
Apple and Raisin Curry,Indian,Vegetarian
Aachari Chicken,Indian,Non-Vegetarian
Sour fish curry,Indian,Non-Vegetarian
Aam Kali,Indian,Vegetarian
Kannvali Roti,Indian,Vegetarian
African Sweet Potato-Peanut Stew,African,Vegan
Almond Bars With A Citrusy Glaze,American,Vegan
Apricot Oat Muffins,American,Kid-Friendly
Berry Banana Crepes for Breakfast,Continental,Kid-Friendly
Anglo Indian Grilled Prawns,Anglo-Indian,Non-Vegetarian
Egg and Milk Ada,Indian,Non-Vegetarian
Anglo-Indian Meat Pepper Fry,Anglo-Indian,Non-Vegetarian
Goan Pork Masala,Indian,Non-Vegetarian
Deep Fried Egg Snack,Indian,Kid-Friendly
Peanut Chutney,Indian,Vegetarian
Aata ka seera,Indian,Festive
Apple and Celery Soup,Continental,Kid-Friendly
5 -Minutes Zucchini Pickle,American,Vegetarian
Almond milk semiya kesari,Indian,Kid-Friendly
Ananas Sandesh,Indian,Kid-Friendly
Baby corn Rice,Indian,Vegetarian
Onion Pachadi,Indian,Vegetarian
Dahi Chicken,Indian,Non-Vegetarian
Afghani Dal,Afghani,Vegetarian
Anaarkli Bhel,Indian,Vegetarian
Apricot And Date Wine,Anglo-Indian,Festive
Anjeer Delight,Indian,Festive
Brinjal Muttabal,Indian,Vegetarian
Aratikay Pulisu (banana),Indian,Vegetarian
Caramel Custard,Indian,Kid-Friendly
Amaranth Stem and Jack Fruit Seeds Palya,Indian,Vegetarian
Amaranth Stem and Jack Fruit Seeds Palya,Indian,Vegetarian
Aloo Sandwich,Indian,Vegetarian
Apple Meringue Dessert,American,Non-Vegetarian
Stewed Lasuni Fish,Indian,Non-Vegetarian
Anjeer khajur kulfi,Indian,Festive
Sweet Poha with Jaggery,Indian,Kid-Friendly
Festive Mysore Pak,Indian,Festive
Ada Dosai and Coconut Thuvayal,Indian,Vegetarian
Adai with Dals,Indian,Vegetarian
American Sev Puri,Indo-American,Vegetarian
Continental Deviled Eggs,Continental,Non-Vegetarian
Fenugreek Chicken,Indian,Non-Vegetarian
Chicken Serunding,Malaysian,Non-Vegetarian
Vegetarian Omelette for Breakfast,Indian,Vegetarian
Goan Lean Pork Vindaloo,Goan,Non-Vegetarian
Apple Muffins,Continental,Kid-Friendly
Green Chilli chicken,Indian,Non-Vegetarian
Aalu Bonda AP style,Indian,Vegetarian
Apple Fritters,Anglo-Indian,Festive
Yummy Coconut Custard,Continental,Kid-Friendly
Aloo Chaat,Indian,Vegetarian
Indian Almond and Mushroom Soup,Indian,Vegetarian
Amrtisari Machli,Indian,Non-Vegetarian
Allu Manchuria,Indian,Vegetarian
Aloo ki puris,Indian,Vegetarian
Almond Biscuits with Orange Butter cream,American,Kid-Friendly
Adai Dosa,Indian,Kid-Friendly
Apple Pie Bars,American,Kid-Friendly
Sweet Puri with Jaggery,Indian,Vegetarian
Apple Rings,Continental,Kid-Friendly
Amrakhand,Indian,Festive
White Poppy seeds halwa,Indian,Kid-Friendly
Ambrosia Crepes,Continental,Festive
Anglo-Indian Cream Of Vegetable Soup,Anglo-Indian,Vegetarian
Bitter gourd With Fresh Yoghurt,Indian,Vegetarian
Aam ki lanji chutney,Indian,Vegetarian
Strawberry Parfait,Continental,Kid-Friendly
Aloo Bahaar-e-Dum,Indian,Vegetarian
Madras Vada Curry,Indian,Vegetarian
Apple Custard Muffin,Indian,Kid-Friendly
Cucumber kootu,Indian,Vegetarian
Americano,Continental,Festive
Indian Patishapta,Indian,Festive
Amla Murabba,Indian,Vegetarian
Brinjal Curd Raita,Indian,Vegetarian
Sweet Steamed Idlis,Indian,Vegetarian
Anokhi Simple Mutton Biryani,Indian,Non-Vegetarian
Bottle Gourd Curry,Indian,Vegetarian
Chinese Sticks,Indo-Chinese,Kid-Friendly
Chinese Chilli Capsicum,Chinese,Vegetarian
Aloo Bokhara Pickle,Indian,Vegetarian
Egg Delight,Indian,Non-Vegetarian
Chick Pea Salad,Indian,Vegetarian
Amla (Indian Gooseberry) Marmalade,Indian,Kid-Friendly
Continental Mayonnaise,Continental,Kid-Friendly
Instant Mixed Dal Dosai,Indian,Kid-Friendly
Andhra Style Chicken Fry,Indian,Non-Vegetarian
Dalsa,Indian,Vegetarian
Apple and Mint Chutney,Indian,Vegetarian
Aloo Soya Tikki,Indian,Vegetarian
Almond Cashew Curry with spices,Indian,Festive
Rava Cake with Dry Fruits,Indian,Festive
Angel Hair Pasta With Green Beans And Mushrooms,Italian,Vegan
Arisi Vella Puttu,Indian,Festive
Almond And Chocolate Fingers,Indian,Kid-Friendly
Crab Chilly,Indian,Non-Vegetarian
Anapa ginjala pulusu,Indian,Vegetarian
Aloo Vada Curry,Indian,Vegetarian
Apple Rabadi,Indian,Kid-Friendly
Apple Cake with Caramel-Pecan Glaze,American,Kid-Friendly
Aamras ke Malai Alu,Indian,Vegetarian
Chicken kuzhambu with Coconut Milk,Indian,Non-Vegetarian
Aapam,Indian,Vegetarian
Garma Garam Zucchini Stir Fry,Anglo-Indian,Vegetarian
Apricot Gingerly Smoothie,Continental,Vegetarian
Cucumber Soup for summers,Indian,Vegetarian
Aloo Wadi (Patra),Indian,Vegetarian
Cheese Salad,Continental,Vegetarian
Easy Aloo Curry,Indian,Vegetarian
Appetising Russian Salad,Indian,High-Protein
Coconut Custard,Anglo-Indian,Festive
Egg Pudding,Indian,Non-Vegetarian
Anarsa (Sweet Dish),Indian,Festive
Arabic Kafta Kebab,Arab,Non-Vegetarian
Date Halwa,Anglo-Indian,Festive
Drumstick Soup,Indian,Vegetarian
Ada prathaman,Indian,Vegetarian
Aloo Aur Ande Ki Tikki,Indian,Non-Vegetarian
Aloo and Til Sabzi,Indian,Vegetarian
Egg Bhurji Roll for Kids,Indian,Kid-Friendly
Aloo Matar Tehri (Matar Vadi Wale Chawal),Indian,Vegetarian
Sukha Anda Masala,Indian,Non-Vegetarian
Indian Pomfret Curry,Indian,Non-Vegetarian
Al-Poshe Pakora (Pumpkin Flower Pakora),Indian,Vegetarian
Cabbage Adai,Indian,Low-Calorie
Tasty Vadai,Indian,Vegetarian
Apple Sandesh,Indian,Kid-Friendly
Idli Pakoda,Indian,Vegetarian
Cream Chicken,Indian,Non-Vegetarian
Sri Lankan Fish Stew,Sri-Lankan,Non-Vegetarian
Crunchy Hawaian Chicken wrap,Continental,Non-Vegetarian
Aloo Gobi Fry,Indian,Kid-Friendly
Achaari bhindi,Indian,Vegetarian
Almond Chikki,Indian,Festive
Aripathiri (Rice flour chapatti),Indian,Vegetarian
Andhra Pudi,Indian,Vegetarian
Dal Vada Recipe,Indian,Kid-Friendly
Arai keerai charu,Indian,Vegetarian
Apple Scones,Continental,Kid-Friendly
7 cup cake (besan katli),Indian,Vegetarian
Dahi Aloo,Indian,Vegetarian
Holiday Fudge,Continental,Festive
Cheesy Orange Floats,Indian,Kid-Friendly
Vellai Dosai,Indian,Vegetarian
Vegetable Curry,Indian,Vegetarian
Apple Sauce,Continental,Vegetarian
Arabic Shrimps with Cumin,Arab,Non-Vegetarian
Karaikudi Keerai Kootu,Indian,Vegetarian
Til Gud Chappati,Indian,Kid-Friendly
Gujarati Gevar,Indian,Festive
Aloo Dhania Parathas,Indian,Vegetarian
4 Minute Dosa,Indian,Kid-Friendly
Gaajar ka kofta,Indian,Vegetarian
Apple and Raisin Salad,Indian,Vegetarian
Indian Sorra Puttu,Indian,Non-Vegetarian
Vanilla Flavoured Caramel Custard,Continental,Festive
Sarson Saag,Indian,Vegetarian
Aloo Kichidi,Indian,Vegetarian
Capsicum Curry with Peanuts,Indian,Vegetarian
Sweet Potato Kheer for Festivals,Indian,Festive
Arbi seekh kabab,Indian,Non-Vegetarian
Arisi Upma Kozhakattai,Indian,Vegetarian
Akbari Paneeer,Indian,Vegetarian
5 Minute Rasam,Indian,Vegetarian
