,recipe_name,cuisine,diet
84,Apple Cobbler,Indian,Festive
85,Stuffed Tangy Bitter Gourd,Indian,Kid-Friendly
86,Aloo Nirali,Indian,Vegetarian
87,Sauteed Indonesian Potatoes,Indonesian,Vegetarian
88,Apple Halwa,Indian,Kid-Friendly
89,Anglo Indian Pork Bhoonie,Anglo-Indian,Non-Vegetarian
90,American Cream Cheese Frosting,American,Kid-Friendly
91,5 Star Diamonds,Indian,Vegetarian
92,Okra in Indian Spices,Indian,Vegetarian
93,Aloo Anar Raita,Indian,Kid-Friendly
94,Almond Kulfi,Indian,Kid-Friendly
95,Chilli Tofu,Asian,Vegan
96,MW Jeera Peas Pulao,Indian,Vegetarian
97,Amla Chutney,Indian,Vegetarian
98,Peanut Sundal,Indian,Kid-Friendly
99,Mango Barfi,Indian,Kid-Friendly
100,Malvani Fish Curry in Coconut,Indian,Non-Vegetarian
101,Apples Stuffed with Chicken,Continental,Festive
102,Strawberry Pie,Continental,Festive
103,Tasty Dal Fry,Indian,Vegetarian
104,Continental Eggless Cake,Continental,Kid-Friendly
105,Chicken Pickle,Indian,Non-Vegetarian
106,Apple and Red Cabbage Soup,Indian,Vegetarian
107,Instant Mango Pickle,Indian,Vegetarian
108,Paneer Gobi,Indian,Vegetarian
109,Aloo Capsicum,Indian,Vegetarian
110,Apple Kheer,Indian,Festive
111,Amritsari Machhi Fry,Indian,Non-Vegetarian
112,Apple Betty,American,Kid-Friendly
113,Dahi Aloo Gravy,Indian,Festive
114,Apple and Mango Pickle,Indian,Vegetarian
115,Singapore Noodles,Singapore,Non-Vegetarian
116,Ambakalya,Indian,Festive
117,Amaretti Cookies,Italian,Vegan
118,Aloo Mattar,Indian,Vegetarian
119,Aloo gobi,Indian,Vegetarian
120,Aloo-Phali Sabji (potato- Long beans Stir fry),Indian,Vegetarian
121,Saboodana Thalipeeth,Indian,Vegetarian
122,Clear Soup,Indian,Vegetarian
123,Lemon pickle with Red Chillies,Indian,Vegetarian
124,Easy Chicken Fry for Parties,Indian,Non-Vegetarian
125,Steamed Dhoklas,Indian,Non-Vegetarian
126,Ande Palakwale,Indian,Non-Vegetarian
127,Eggless waffles with wholewheat flour,American,Vegetarian
128,Amriki salad,American,Vegetarian
129,Almond and Fig Peda,Indian,Kid-Friendly
130,Aloo chutneywale,Indian,Vegetarian
131,Andhra Mutton Mushroom Sukka,Indian,Non-Vegetarian
132,Amvade,Indian,Kid-Friendly
133,Pickled Mangoes in Sesame Oil,Indian,Vegetarian
134,Aloo Tikki,Indian,Vegetarian
135,Fish and Tomato Tenga,Indian,Non-Vegetarian
136,Kulkuls for Kids,Indian,Kid-Friendly
137,Apple and Paneer Basundi,Indian,Kid-Friendly
138,Aloo Choliya (Potato Green Chickpea Curry ),Indian,Vegetarian
139,7 Cups Burfi,Indian,Kid-Friendly
140,Sauteed Spring Onions,Indian,Vegetarian
141,Potatoes in Cumin Masala,Indian,Vegetarian
142,Adrak Navratan,Indian,Kid-Friendly
143,Adi - Muglai Lauki,Indian,Vegetarian
144,Amchoor (Dried Mango) Powder,Indian,Vegetarian
145,Akbari Vegetables,Indian,Vegetarian
146,Aloo Rasedar,Indian,Vegetarian
147,Coconut Dosa,Indian,Vegetarian
148,Minced Meat Kofta,Indian,Non-Vegetarian
149,Deep fried Chicken,Indian,Non-Vegetarian
150,Ras Malai with Eggs,Indian,Kid-Friendly
151,South-style Chicken Kurma,Indian,Non-Vegetarian
152,Hakka Noodles,Chinese,Vegetarian
153,Andhra chicken curry,Indian,Non-Vegetarian
154,Aloo Capsicum Boats,Indian,Vegetarian
155,Baby Corn Rice with green chilli pickle,Indian,Vegetarian
156,Moong Dal Masala Vada,Indian,Kid-Friendly
157,All-Whole-Wheat Sourdough Bread,Continental,Vegan
158,Anglo-Indian Mustard Sauce,Anglo-Indian,Vegetarian
159,Coriander Fish,Indian,Non-Vegetarian
160,Ready to make rava idli,Indian,Kid-Friendly
161,Thai Celery and coconut cream soup,Thai,Non-Vegetarian
162,Almond Toast,Indian,Kid-Friendly
163,Fruit Salad With full Cream,Indian,Vegetarian
164,3 Minute Mamra Upma,Indian,Kid-Friendly
165,Almond Butter,American,Vegan
166,Dhokla,Indian,Vegetarian
167,Apple Sauce Doughnuts,Continental,Kid-Friendly
168,Alu Pita,Indian,Kid-Friendly
169,Traditional Xmas cake,Anglo-Indian,Kid-Friendly
170,Apple Jelly Delight,American,Kid-Friendly
171,Tangy Chana Dal Chutney,Indian,Vegetarian
172,Akbari Murg-bhat,Indian,Non-Vegetarian
173,Amboli,Indian,Vegetarian
174,Army Camp Soup,Anglo-Indian,Non-Vegetarian
175,Anjeer Barfi,Indian,Vegetarian
176,Continental Strawberry Parfait,Continental,Kid-Friendly
177,Aloo Sarson Posta,Indian,Vegetarian
178,Chilli Capsicum,Indian,Vegetarian
179,Adai,Indian,Low-Calorie
180,Anglo-Burmese Piajo Soup,Anglo-Indian,Non-Vegetarian
181,Aaviri Kudumu (Steamed Urad Dal Dumplings),Indian,Vegetarian
182,Cabbage Kofta,Indian,Vegetarian
183,Chana Dal-Cheese Kofta Curry,Indian,Vegetarian
184,Aam ka Paratha stuffed with Chhunda,Indian,Vegetarian
185,Hawaian Shake,Indian,Kid-Friendly
186,Aam ka meetha,Indian,Vegetarian
187,Almond Brownies,Continental,Kid-Friendly
188,Kofta Biryani,Indian,Vegetarian
189,Almond Praline with Vanilla Ice Cream,American,Kid-Friendly
190,Kolkata Doi Mach,Indian,Non-Vegetarian
191,Banana Drink with chocolate syrup,Indian,Vegetarian
192,Apricot White Chocolate Pulla,Continental,Kid-Friendly
193,Kerala Fish Curry,Indian,Non-Vegetarian
194,Anzac Biscuits,Indian,Kid-Friendly
195,Apple jalebi,Continental,Kid-Friendly
196,Rose Flavoured Thandai,Indian,Vegetarian
197,Andhra Style Raw Mango Pickle,Indian,Vegetarian
198,Aglio olio pasta,Italian,Vegetarian
199,Fruit Salad with cream,Indian,Kid-Friendly
200,Amla Grape Juice,Indian,Kid-Friendly
201,Alighari Aloo Potato,Indian,Vegetarian
202,Amb Khatta (Mango Pickle),Indian,Vegetarian
203,Alu Palak Pulao,Indian,Vegetarian
204,Apple Tart 'Maman Blanc',Continental,Kid-Friendly
205,Anglo Indian roast beef,Anglo-Indian,Non-Vegetarian
206,Apple Crumble Tarts,Continental,Vegetarian
207,Gajar ka pulao,Indian,Vegetarian
208,Honey Carrot Kheer,Indian,Vegetarian
209,Amazing Corn Cake,American,Kid-Friendly
210,Yellow Coconut rice with Saffron,Anglo-Indian,Vegetarian
211,Paneer Fried Rice,Indian,Vegetarian
212,Phoolgobi chawal,Indian,Vegetarian
213,Andhra Gongura Thokku,Indian,Vegetarian
214,Egg Roll Snack,Indian,Non-Vegetarian
215,Fried Crab Masala,Indian,Non-Vegetarian
216,A Rendezvous with Rice,Anglo-Indian,Vegetarian
217,Chicken with Lychees,Chinese,Non-Vegetarian
218,30-minute Cauliflower Kurma,Indian,Vegetarian
219,Iyengar Mangai pachadi,Indian,Vegetarian
220,American Cheese Pudding,American,Kid-Friendly
221,Aebleskivers,Indian,Vegetarian
222,Aloo Spinach pancakes,Indian,Vegetarian
223,Aloo Paneer Curry,Indian,Vegetarian
224,Apple Khova Crumble,Indian,Vegetarian
225,Amla Honey Shot,Indian,Kid-Friendly
226,Ariselu,Indian,Kid-Friendly
227,Anglo-Indian Meat Vindaloo,Anglo-Indian,Non-Vegetarian
228,Mango Kulfi,Indian,Kid-Friendly
229,Ananas rasam,Indian,Kid-Friendly
230,Jackfruit Curry,Indian,Vegetarian
231,Amba Burfi,Indian,Festive
232,Aam ki lassi,Indian,Vegetarian
233,Pineapple Kesari,Indian,Festive
234,Vegetable patties,Indian,Vegetarian
235,Drumstick Kootu,Indian,Vegetarian
236,Almond Milk,Indian,Kid-Friendly
237,Almond Pancakes,Continental,Vegan
238,Aloo Bhajiyas,Indian,Vegetarian
239,Andhra Chicken Kurma,Indian,Non-Vegetarian
240,Aloo Baigan (Brinjal) Ki Sabzi,Indian,Vegetarian
241,Ada,Indian,Vegetarian
242,All-In-One Dal,Indian,Vegetarian
243,Aamor Asar,Indian,Vegetarian
244,Anjeer ke kofte,Indian,Vegetarian
245,Ari Payasam,Indian,Festive
246,Adrak and Ajwain Flavoured Lassi,Indian,Festive
247,Ananas (Pineapple) Pulao,Indian,Vegetarian
248,Gujarati Thepla,Indian,Vegetarian
249,Cheese Sauce Dip,Indian,Kid-Friendly
250,Aloo pulao,Indian,Vegetarian
251,Apple Pachadi,Indian,Kid-Friendly
252,Muffin with onions,Indian,Kid-Friendly
253,Apricot Cream and Pear Sandwich,Indian,Kid-Friendly
254,Cabbage Pakoda,Indian,Vegetarian
255,Apple Pudding,Continental,Kid-Friendly
256,Appam,Indian,Kid-Friendly
257,Indian Ivy Gourd Fry,Indian,Vegetarian
258,Tasty Masala Vadai,Indian,Kid-Friendly
259,Almond Fried Fish with Ginger Sauce,Chinese,Non-Vegetarian
260,Almond Capsicum Stew,Continental,Vegetarian
261,Aloo Cheese Ka Paratha,Indian,Vegetarian
262,Pav Bhaji,Indian,Kid-Friendly
263,Prawn Toast,Chinese,Non-Vegetarian
264,Arbi Ki Sabzi,Indian,Vegetarian
265,Andhra Mamidi Pappu (Mango Dal),Indian,Vegetarian
266,Andhra gongura pachadi,Indian,Vegetarian
267,Araichu Vitta Sambar,Indian,Vegetarian
268,Yellow Moong Dal with Spinach,Indian,Vegetarian
269,Aloo Paneer Kofta Curry,Indian,Vegetarian
270,South Indian Lemon rasam,Indian,Vegetarian
271,Doi Mach,Indian,Non-Vegetarian
272,Aloo and Baigan Pakodas,Indian,Vegetarian
273,Cheese Loaf,Indian,Vegetarian
274,Arabian Lentil Soup,Arab,Non-Vegetarian
275,Almond Cashew Curry,Indian,Vegetarian
276,Indian Thekua,Indian,Kid-Friendly
277,Almond Payasam,Indian,Vegetarian
278,Chicken Serunding in rich coconut milk,Malaysian,Non-Vegetarian
279,Aate Ka Halwa,Indian,Kid-Friendly
280,Almond Butter Cake,Indian,Kid-Friendly
281,Cold Cucumber Soup,Indian,Vegetarian
282,Spiced Indian Chicken,Indian,Non-Vegetarian
283,Alu matki usal,Indian,Vegetarian
284,Alasanda vadium ( lobiya cryspies),Indian,Vegetarian
285,Deep fried Prawn Balls,Indian,Non-Vegetarian
286,Aloo Jeera,Indian,Vegetarian
287,Sri Lankan Fish Curry,Sri-Lankan,Non-Vegetarian
288,French Doughnuts,French,Kid-Friendly
289,Bengali Tangy Fish Curry,Indian,Non-Vegetarian
290,Aloo Palak,Indian,Vegetarian
291,Aloo paratha,Indian,Vegetarian
292,Lasuni Dal Vada,Indian,Festive
293,Sauteed Thai Fried Rice,Thai,Festive
294,French Toast with Herbs for Breakfast,Continental,Non-Vegetarian
295,Arbi-Yam Oondhiya,Indian,Vegetarian
296,Indian Drumstick Kootu,Indian,Vegetarian
297,Coconut Kadhi with Kokam,Indian,Vegetarian
298,Aloo Bhath,Indian,Vegetarian
299,Apple Raisin Christmas Pie,Continental,Festive
300,Almond Meringue Torte,Anglo-Indian,Kid-Friendly
301,Easy to make Birthday Cake,Indian,Kid-Friendly
302,Green Mango Curry with Pineapple,Indian,Vegetarian
303,Apple Pancakes,Indian,Festive
304,Apple coleslaw,American,Kid-Friendly
305,Indian String Beans Curry,Indian,Vegetarian
306,Aloo Poha,Indian,Kid-Friendly
307,Amita Khar,Indian,Vegetarian
308,Aam aur kele ka rasayan,Indian,Vegetarian
309,Adai (Dhal Dosa),Indian,Vegetarian
310,Anglo-Burmese Khow Suey,Anglo-Indian,Non-Vegetarian
311,Aam ka kulfi,Indian,Kid-Friendly
312,Continental Egg Salad,Continental,Festive
313,Onion Garlic Chutney with Pepper,Indian,Vegetarian
314,Ada dosa,Indian,Vegetarian
315,Bittersweet Chocolate Cake,Continental,Non-Vegetarian
316,Easy Bread Pizza,Continental,Vegetarian
317,Egg Manchurian,Indo-Chinese,Kid-Friendly
318,American Mojito Martini,American,Festive
319,Aloo Pastry Puffs,Indian,Vegetarian
320,Anglo Indian Waldorf Salad,Anglo-Indian,Vegetarian
321,Festive Eggnog,Continental,Festive
322,Hara Murg,Indian,Non-Vegetarian
323,Breadfruit (Kadachakka) Fritters,Continental,Vegetarian
324,Eggless Wholewheat Waffles,American,Kid-Friendly
325,Fish Bread Roll,Indian,Non-Vegetarian
326,Chicken Roast with Indian Spices,Indian,Non-Vegetarian
327,Ambrosia Fruit Salad,Indian,Kid-Friendly
328,Upma Pidi Kozhukattai,Indian,Kid-Friendly
329,Amritsari fish with salmon,Indian,Non-Vegetarian
330,Almond yogurt,Indian,Kid-Friendly
331,Andhra Chicken Shashlik Masal,Indian,Non-Vegetarian
332,Aamras with Poori,Indian,Vegetarian
333,Ammini (mini) kozhukattai,Indian,Festive
334,Mullangi kootu,Indian,Vegetarian
335,5 Minutes Chocolate Mousse,English,Kid-Friendly
336,Kerala Fish Stew,Indian,Non-Vegetarian
337,Mediterranean Chick Pea Salad,Mediterranean,Kid-Friendly
338,Firni,Indian,Vegetarian
339,Aloo De Sagaan,Indian,Vegetarian
340,Indian Dhaniya Chicken,Indian,Non-Vegetarian
341,Ajwain Kulcha - Carrom seeds Kulcha,Indian,Kid-Friendly
342,Almond Crush,Indian,Kid-Friendly
343,Akhini,Indian,Non-Vegetarian
344,All Spice Powder (Garam Masala Powder),Indian,Vegetarian
345,Alphabet Soup,Continental,Vegetarian
346,Mango Pickle with Indian Spices,Indian,Vegetarian
347,Anjaraipetti Kuzhambu,Indian,Vegetarian
348,Raw Banana Pulitta Koottu,Indian,Vegetarian
349,Tortellini With Shiitakes and Peas,Italian,Vegetarian
350,Velvety Green Curry with Peas and Mushrooms,Indian,Vegan
351,Paneer with Gravy,Indian,Vegetarian
352,Dalma,Indian,Kid-Friendly
353,Paasi Paruppu Pesarattu,Indian,Kid-Friendly
354,Golden Shrimp Vada,Indian,Non-Vegetarian
355,Aapam with thengaipal,Indian,Kid-Friendly
356,Almond macaroons,Indian,Kid-Friendly
357,Appalam Vatha Kozhambhu,Indian,Vegetarian
358,Arabian Pulao,Indian,Non-Vegetarian
359,Chilled Mango Kulfi,Indian,Kid-Friendly
360,Almond Bark,Indian,Festive
361,Indian Lapsee,Indian,Festive
362,Amaranthus Sambar,Indian,Kid-Friendly
363,Aam ki subzi,Indian,Kid-Friendly
364,2-Seeds Crackers,Indian,Kid-Friendly
365,Cheese Mince Pancakes,Continental,Non-Vegetarian
366,Alu matar ka pie,Indian,Non-Vegetarian
367,Achari Paneer Tikka,Indian,Vegetarian
368,Apple Juice,Indian,Kid-Friendly
369,Indian Drumstick Curry,Indian,Vegetarian
370,Aloo Bhindi Masala,Indian,Kid-Friendly
371,Apple rasam,Indian,Vegetarian
372,8-minute Cheese Cake,Continental,Festive
373,Apricot nectar,Continental,Kid-Friendly
374,Vegetable Stew under 30 minutes,Indian,Vegetarian
375,Arabian Rice,Middle-East,Non-Vegetarian
376,Mumbaiya Pav Bhaji,Indian,Kid-Friendly
377,Arbi With Mustard Masala,Indian,Vegetarian
378,American Cabinet Pudding,American,Kid-Friendly
379,Arabic Cheese Roll,Arab,Vegetarian
380,Dahi Wada,Indian,Vegetarian
381,Stuffed Triangles,Indian,Festive
382,Mixed Veggies Kootu,Indian,Vegetarian
383,Dal-Cheese Kofta Curry,Indian,Kid-Friendly
384,Akki roti with cabbage palya,Indian,Vegetarian
385,Apricot Fudge,Continental,Festive
386,Hard boiled Egg Curry,Indian,Non-Vegetarian
387,Aloo banda (Alu Choup),Indian,Vegetarian
388,Kokum Kadi,Indian,Vegetarian
389,Indian Chilli Crab Masala,Indian,Non-Vegetarian
390,Arikkadukka (Stuffed mussels),Indian,Non-Vegetarian
391,Ankurit Moth Salad,Indian,Vegetarian
392,Khara Boondhi,Indian,Vegetarian
393,Mughlai Murg,Indian,Non-Vegetarian
394,Aloo chana Masala,Indian,Vegetarian
395,Hawaian Confections,American,Kid-Friendly
396,Chicken Gravy in Yoghurt,Indian,Non-Vegetarian
397,Aam panna,Indian,Kid-Friendly
398,Spicy Brinjal Stew,Indian,Vegetarian
399,Aloo Tuk Chaat,Indian,Vegetarian
400,Tangy Grilled Veggies,Indian,Vegetarian
401,Almond Rice Kheer,Indian,Vegetarian
402,Mushroom Masala for Bachelors,Indian,Festive
403,Easy Chocolate Ice Cream,American,Kid-Friendly
404,Aloo methi dry,Indian,Vegetarian
405,Almond kesari,Indian,Festive
406,Almond soup,Indian,Kid-Friendly
407,Dal Chutney,Indian,Vegetarian
408,Aloo Ki Khatti Tarkari,Indian,Vegetarian
409,Garlic Chutney with Cilantro,Indian,Vegetarian
410,Asian Chilli Beef with Leeks,Asian,Non-Vegetarian
411,Ambshi Tikshi Kadi - Fish,Indian,Non-Vegetarian
412,Apple Bread Butter Pudding,Continental,Kid-Friendly
413,Brussels Sprouts Curry,Indian,Kid-Friendly
414,Almond Modak,Indian,Festive
415,Aloo Kasoori Methi,Indian,Vegetarian
416,Aloo Bhatt,Indian,Vegetarian
417,Masaledar Baingan Raita,Indian,Vegetarian
418,Aloo Capsicum Sabji,Indian,Vegetarian
419,Apple and Raisin Curry,Indian,Vegetarian
420,Aachari Chicken,Indian,Non-Vegetarian
421,Sour fish curry,Indian,Non-Vegetarian
422,Aam Kali,Indian,Vegetarian
423,Kannvali Roti,Indian,Vegetarian
424,African Sweet Potato-Peanut Stew,African,Vegan
425,Almond Bars With A Citrusy Glaze,American,Vegan
426,Apricot Oat Muffins,American,Kid-Friendly
427,Berry Banana Crepes for Breakfast,Continental,Kid-Friendly
428,Anglo Indian Grilled Prawns,Anglo-Indian,Non-Vegetarian
429,Egg and Milk Ada,Indian,Non-Vegetarian
430,Anglo-Indian Meat Pepper Fry,Anglo-Indian,Non-Vegetarian
431,Goan Pork Masala,Indian,Non-Vegetarian
432,Deep Fried Egg Snack,Indian,Kid-Friendly
433,Peanut Chutney,Indian,Vegetarian
434,Aata ka seera,Indian,Festive
435,Apple and Celery Soup,Continental,Kid-Friendly
436,5 -Minutes Zucchini Pickle,American,Vegetarian
437,Almond milk semiya kesari,Indian,Kid-Friendly
438,Ananas Sandesh,Indian,Kid-Friendly
439,Baby corn Rice,Indian,Vegetarian
440,Onion Pachadi,Indian,Vegetarian
441,Dahi Chicken,Indian,Non-Vegetarian
442,Afghani Dal,Afghani,Vegetarian
443,Anaarkli Bhel,Indian,Vegetarian
444,Apricot And Date Wine,Anglo-Indian,Festive
445,Anjeer Delight,Indian,Festive
446,Brinjal Muttabal,Indian,Vegetarian
447,Aratikay Pulisu (banana),Indian,Vegetarian
448,Caramel Custard,Indian,Kid-Friendly
449,Amaranth Stem and Jack Fruit Seeds Palya,Indian,Vegetarian
450,Amaranth Stem and Jack Fruit Seeds Palya,Indian,Vegetarian
451,Aloo Sandwich,Indian,Vegetarian
452,Apple Meringue Dessert,American,Non-Vegetarian
453,Stewed Lasuni Fish,Indian,Non-Vegetarian
454,Anjeer khajur kulfi,Indian,Festive
455,Sweet Poha with Jaggery,Indian,Kid-Friendly
456,Festive Mysore Pak,Indian,Festive
457,Ada Dosai and Coconut Thuvayal,Indian,Vegetarian
458,Adai with Dals,Indian,Vegetarian
459,American Sev Puri,Indo-American,Vegetarian
460,Continental Deviled Eggs,Continental,Non-Vegetarian
461,Fenugreek Chicken,Indian,Non-Vegetarian
462,Chicken Serunding,Malaysian,Non-Vegetarian
463,Vegetarian Omelette for Breakfast,Indian,Vegetarian
464,Goan Lean Pork Vindaloo,Goan,Non-Vegetarian
465,Apple Muffins,Continental,Kid-Friendly
466,Green Chilli chicken,Indian,Non-Vegetarian
467,Aalu Bonda AP style,Indian,Vegetarian
468,Apple Fritters,Anglo-Indian,Festive
469,Yummy Coconut Custard,Continental,Kid-Friendly
470,Aloo Chaat,Indian,Vegetarian
471,Indian Almond and Mushroom Soup,Indian,Vegetarian
472,Amrtisari Machli,Indian,Non-Vegetarian
473,Allu Manchuria,Indian,Vegetarian
474,Aloo ki puris,Indian,Vegetarian
475,Almond Biscuits with Orange Butter cream,American,Kid-Friendly
476,Adai Dosa,Indian,Kid-Friendly
477,Apple Pie Bars,American,Kid-Friendly
478,Sweet Puri with Jaggery,Indian,Vegetarian
479,Apple Rings,Continental,Kid-Friendly
480,Amrakhand,Indian,Festive
481,White Poppy seeds halwa,Indian,Kid-Friendly
482,Ambrosia Crepes,Continental,Festive
483,Anglo-Indian Cream Of Vegetable Soup,Anglo-Indian,Vegetarian
484,Bitter gourd With Fresh Yoghurt,Indian,Vegetarian
485,Aam ki lanji chutney,Indian,Vegetarian
486,Strawberry Parfait,Continental,Kid-Friendly
487,Aloo Bahaar-e-Dum,Indian,Vegetarian
488,Madras Vada Curry,Indian,Vegetarian
489,Apple Custard Muffin,Indian,Kid-Friendly
490,Cucumber kootu,Indian,Vegetarian
491,Americano,Continental,Festive
492,Indian Patishapta,Indian,Festive
493,Amla Murabba,Indian,Vegetarian
494,Brinjal Curd Raita,Indian,Vegetarian
495,Sweet Steamed Idlis,Indian,Vegetarian
496,Anokhi Simple Mutton Biryani,Indian,Non-Vegetarian
497,Bottle Gourd Curry,Indian,Vegetarian
498,Chinese Sticks,Indo-Chinese,Kid-Friendly
499,Chinese Chilli Capsicum,Chinese,Vegetarian
500,Aloo Bokhara Pickle,Indian,Vegetarian
501,Egg Delight,Indian,Non-Vegetarian
502,Chick Pea Salad,Indian,Vegetarian
503,Amla (Indian Gooseberry) Marmalade,Indian,Kid-Friendly
504,Continental Mayonnaise,Continental,Kid-Friendly
505,Instant Mixed Dal Dosai,Indian,Kid-Friendly
506,Andhra Style Chicken Fry,Indian,Non-Vegetarian
507,Dalsa,Indian,Vegetarian
508,Apple and Mint Chutney,Indian,Vegetarian
509,Aloo Soya Tikki,Indian,Vegetarian
510,Almond Cashew Curry with spices,Indian,Festive
511,Rava Cake with Dry Fruits,Indian,Festive
512,Angel Hair Pasta With Green Beans And Mushrooms,Italian,Vegan
513,Arisi Vella Puttu,Indian,Festive
514,Almond And Chocolate Fingers,Indian,Kid-Friendly
515,Crab Chilly,Indian,Non-Vegetarian
516,Anapa ginjala pulusu,Indian,Vegetarian
517,Aloo Vada Curry,Indian,Vegetarian
518,Apple Rabadi,Indian,Kid-Friendly
519,Apple Cake with Caramel-Pecan Glaze,American,Kid-Friendly
520,Aamras ke Malai Alu,Indian,Vegetarian
521,Chicken kuzhambu with Coconut Milk,Indian,Non-Vegetarian
522,Aapam,Indian,Vegetarian
523,Garma Garam Zucchini Stir Fry,Anglo-Indian,Vegetarian
524,Apricot Gingerly Smoothie,Continental,Vegetarian
525,Cucumber Soup for summers,Indian,Vegetarian
526,Aloo Wadi (Patra),Indian,Vegetarian
527,Cheese Salad,Continental,Vegetarian
528,Easy Aloo Curry,Indian,Vegetarian
529,Appetising Russian Salad,Indian,High-Protein
530,Coconut Custard,Anglo-Indian,Festive
531,Egg Pudding,Indian,Non-Vegetarian
532,Anarsa (Sweet Dish),Indian,Festive
533,Arabic Kafta Kebab,Arab,Non-Vegetarian
534,Date Halwa,Anglo-Indian,Festive
535,Drumstick Soup,Indian,Vegetarian
536,Ada prathaman,Indian,Vegetarian
537,Aloo Aur Ande Ki Tikki,Indian,Non-Vegetarian
